time,winner,looser
1,213,276
1,124,456
1,425,446
1,393,452
1,185,172
1,36,415
1,150,248
1,16,81
1,473,23
1,12,25
1,416,124
1,444,412
1,222,421
1,400,140
1,389,358
1,244,91
1,319,4
1,448,51
1,355,341
1,310,322
1,88,335
1,499,202
1,371,373
1,237,339
2,474,410
2,185,361
2,61,393
2,150,36
2,242,213
2,400,100
2,223,244
2,454,49
2,354,63
2,444,222
2,389,430
2,469,191
2,401,466
2,382,7
2,310,355
3,16,425
3,473,101
3,12,474
3,242,16
3,319,400
3,448,223
4,150,61
4,12,473
4,185,416
4,454,389
4,354,444
4,382,401
4,371,88
4,499,237
4,469,310
5,150,242
5,12,185
5,448,319
5,354,454
5,371,499
5,382,469
5,382,371
6,150,12
6,354,448
7,392,373
7,335,343
7,291,229
7,481,410
7,247,339
7,42,470
7,191,54
7,145,444
7,49,342
7,362,140
7,27,400
7,424,87
7,302,426
8,242,25
8,53,491
8,93,30
8,124,193
8,46,74
8,452,67
8,177,248
8,213,134
8,255,385
8,244,382
8,180,274
8,421,7
8,38,322
8,185,91
8,389,210
8,214,145
8,49,302
9,392,452
9,124,242
9,481,247
9,42,53
9,46,177
9,213,191
9,291,255
9,93,335
9,287,412
9,223,361
9,27,424
9,38,161
9,389,180
9,287,223
9,362,421
9,244,185
10,213,124
10,93,291
10,46,481
10,392,42
10,389,27
10,38,287
10,49,362
10,244,214
11,392,46
11,213,93
11,38,49
11,244,389
12,213,392
12,244,38
14,456,58
14,62,267
14,345,88
14,91,150
14,382,207
14,134,357
14,403,180
14,454,294
14,460,373
14,276,470
14,401,100
14,177,280
14,448,7
14,51,28
14,160,342
14,421,446
14,339,361
14,16,310
14,25,191
14,385,322
14,223,416
14,214,172
14,49,371
14,362,425
14,469,343
14,248,247
14,46,412
14,42,346
14,38,239
14,474,452
14,389,124
14,244,381
15,234,107
15,222,444
15,287,392
15,354,301
15,358,335
15,464,121
15,216,4
15,472,274
15,400,36
15,61,341
15,302,494
15,497,140
15,67,109
15,12,323
15,27,210
15,457,252
15,410,23
15,145,193
15,426,70
15,185,458
15,473,74
15,242,229
15,93,21
15,355,53
15,430,151
15,137,495
15,432,54
15,481,424
15,213,237
15,491,87
15,161,208
15,319,255
16,276,460
16,134,177
16,389,223
16,339,49
16,421,25
16,38,469
16,385,403
16,16,448
16,91,456
16,51,454
16,474,248
16,382,62
16,46,362
16,244,42
16,214,160
16,401,345
17,400,12
17,145,432
17,354,67
17,464,234
17,430,242
17,287,137
17,185,410
17,216,358
17,27,457
17,491,355
17,319,497
17,473,93
17,161,213
17,481,426
17,472,61
17,302,222
18,38,385
18,16,382
18,339,389
18,401,474
18,421,276
18,244,46
18,91,134
18,214,51
19,319,185
19,430,491
19,400,464
19,472,481
19,216,287
19,302,27
19,161,473
19,354,145
20,244,16
20,38,401
20,91,214
20,339,421
21,430,216
21,319,400
21,354,302
21,472,161
22,91,339
22,244,38
23,319,430
23,354,472
24,244,91
24,319,354
26,319,244
28,229,344
28,36,121
28,444,458
28,481,377
28,42,373
28,341,332
28,255,180
28,310,185
28,452,124
28,499,267
28,401,140
29,494,290
29,111,335
29,65,134
29,497,25
29,151,416
29,491,239
29,469,53
29,302,256
29,237,99
29,150,385
29,277,362
29,454,27
29,58,412
29,23,137
29,339,93
29,322,294
30,494,42
30,481,341
30,444,229
30,302,36
30,7,62
30,244,23
30,499,150
30,210,401
30,454,237
31,151,111
31,469,491
31,255,310
31,497,65
31,7,277
31,382,452
31,339,322
31,49,58
32,444,494
32,255,469
32,497,151
32,481,302
32,382,7
32,454,244
32,49,339
32,499,210
33,444,497
33,481,255
33,49,382
33,454,499
34,481,444
34,49,454
42,425,5
43,426,191
43,371,172
43,185,389
43,53,400
43,448,21
43,223,495
43,322,74
43,287,412
43,301,424
43,49,145
43,150,444
44,425,53
44,301,185
44,430,322
44,287,355
44,49,426
44,150,371
44,161,448
44,214,223
45,430,301
45,214,425
45,161,150
45,287,49
46,161,430
46,287,214
47,287,161
48,389,267
48,185,400
48,294,5
48,494,444
48,93,25
48,242,342
48,210,126
48,448,362
48,46,184
48,202,116
48,302,481
48,61,247
49,346,54
49,358,470
49,377,121
49,234,224
49,335,221
49,191,454
49,193,107
49,213,74
49,371,150
49,412,276
49,491,223
49,65,322
49,426,425
49,495,287
49,458,172
49,87,21
49,134,339
50,432,99
50,229,248
50,373,445
50,413,58
50,53,457
50,88,59
50,244,412
50,242,49
50,213,210
50,185,389
50,371,93
50,430,191
50,426,491
50,302,494
50,65,134
50,161,61
50,46,458
50,448,495
50,214,193
50,382,202
50,294,319
50,354,87
51,7,20
51,42,36
51,460,135
51,452,499
51,67,423
51,358,346
51,88,234
51,335,413
51,244,65
51,242,213
51,161,448
51,185,214
51,426,294
51,354,371
51,430,302
51,46,382
52,7,377
52,42,373
52,460,53
52,452,432
52,229,67
52,185,354
52,244,242
52,46,161
52,430,426
53,7,335
53,460,42
53,358,88
53,452,229
53,244,185
53,46,430
54,452,7
54,460,358
54,46,244
55,452,460
56,361,385
56,469,63
56,62,344
57,160,35
57,454,109
57,274,447
57,74,140
57,421,335
58,222,410
58,25,193
58,283,58
58,494,489
58,23,91
58,12,438
58,123,16
58,213,345
58,160,421
58,454,283
58,494,25
58,23,274
58,12,74
59,222,123
59,469,361
59,213,62
59,469,160
60,454,222
60,213,23
60,12,494
60,469,454
61,213,12
62,469,213
65,255,276
65,222,335
65,101,392
65,460,410
65,491,242
65,229,412
65,16,234
65,12,42
65,213,469
65,458,456
66,65,176
66,274,381
66,342,284
66,140,481
66,425,151
66,23,247
66,67,424
66,109,191
66,294,494
66,7,345
66,362,25
66,452,371
66,473,346
66,36,495
66,457,180
66,444,93
66,208,248
67,361,373
67,58,446
67,124,61
67,283,385
67,340,107
67,65,134
67,460,210
67,302,101
67,222,185
67,458,421
67,322,491
67,140,74
67,38,274
67,464,342
67,229,389
67,161,425
68,12,87
68,287,16
68,472,23
68,49,255
68,430,213
68,214,362
68,382,444
68,457,426
68,58,454
68,36,216
68,448,340
68,223,361
68,400,67
68,473,244
68,283,339
68,354,109
69,91,124
69,46,452
69,150,208
69,7,474
69,319,294
69,161,229
69,464,287
69,460,322
69,49,222
69,302,472
69,12,458
70,430,140
70,38,65
70,223,400
70,214,457
70,354,58
70,382,448
70,36,150
70,473,283
70,46,7
71,319,91
71,302,49
71,12,464
71,460,161
71,430,38
72,473,36
72,354,223
72,46,319
72,214,382
72,12,302
73,430,460
73,46,354
74,214,473
75,12,430
75,214,46
76,12,214
79,23,87
79,416,234
79,385,99
79,362,124
79,16,346
79,412,494
79,381,457
79,424,373
79,460,425
79,335,137
79,481,7
79,467,361
80,371,208
80,109,466
80,471,456
80,473,193
80,139,284
80,323,318
80,446,248
80,276,491
80,444,127
80,345,410
80,469,294
80,242,140
80,12,42
80,93,247
80,389,151
80,301,176
80,274,392
80,310,497
80,191,355
80,244,385
80,150,381
80,424,216
80,134,23
81,222,340
81,38,481
81,49,467
81,454,416
81,223,16
81,444,382
81,287,335
81,185,371
81,319,471
81,460,322
81,242,339
81,12,213
81,310,302
81,210,139
81,473,426
81,474,389
81,400,412
81,464,222
81,214,301
81,472,345
81,274,145
81,421,191
81,362,46
81,161,446
82,172,109
82,354,276
82,93,74
82,469,430
82,91,323
82,464,472
82,134,150
82,244,454
82,38,424
82,185,319
82,474,310
82,49,242
83,223,444
83,12,214
83,469,91
83,362,400
83,161,172
83,460,287
83,473,210
83,354,93
84,274,421
84,38,49
84,244,134
84,223,12
84,185,474
84,161,473
85,464,469
85,354,362
85,460,274
85,223,185
86,38,244
86,161,464
86,354,460
87,38,223
88,354,161
89,38,354
91,497,127
91,213,256
91,340,217
91,416,423
91,274,457
91,322,248
91,290,392
91,361,116
91,219,335
91,444,255
91,46,4
91,57,104
91,447,218
91,376,373
91,446,403
91,124,99
91,381,109
91,176,315
92,229,355
92,346,252
92,101,58
92,276,16
92,208,237
92,74,126
92,385,344
92,421,416
92,137,375
92,458,54
92,202,25
92,193,100
92,456,371
92,107,489
92,294,160
92,20,21
92,339,53
92,23,211
92,301,476
93,91,67
93,410,309
93,49,447
93,446,150
93,340,400
93,276,290
93,361,213
93,382,229
93,46,219
93,444,497
93,74,101
93,208,287
93,322,376
93,385,346
93,91,57
93,474,410
93,214,236
93,302,378
93,456,176
93,381,458
94,216,274
94,276,340
94,46,446
94,385,49
94,361,382
94,474,74
94,91,208
94,216,322
94,124,193
94,339,202
94,294,20
94,302,137
95,421,444
95,276,46
95,474,385
95,216,421
95,23,107
95,214,301
95,381,456
95,302,294
96,361,91
96,474,276
96,216,361
96,214,124
96,23,339
96,302,381
97,216,474
97,23,214
97,302,23
98,392,58
98,330,104
98,321,344
98,160,410
98,252,226
98,88,36
98,452,413
98,243,7
98,151,377
99,16,256
99,116,35
99,54,332
99,416,283
99,393,18
99,255,57
99,21,25
99,432,490
99,242,138
99,121,290
99,172,426
99,355,187
99,247,195
99,373,437
99,27,224
99,458,335
99,345,126
99,261,46
100,3,322
100,456,241
100,497,217
100,403,376
100,160,392
100,416,54
100,237,438
100,121,452
100,172,88
101,321,3
101,16,252
101,497,456
101,21,330
101,403,255
101,247,373
101,432,242
101,237,345
101,458,151
101,243,27
101,355,261
102,116,393
102,21,497
102,160,416
102,403,116
102,16,321
102,172,237
102,121,458
102,432,247
102,355,243
103,16,160
103,403,21
103,172,121
103,432,355
104,16,403
104,172,432
112,345,326
112,137,248
112,276,497
113,88,35
113,380,412
113,25,202
113,74,148
113,425,242
113,21,426
113,243,73
113,237,385
113,335,373
113,210,287
113,400,322
113,346,416
113,291,87
113,410,448
113,49,127
114,54,124
114,294,481
114,460,444
114,229,358
114,425,88
114,137,74
114,21,345
114,380,335
114,46,290
114,454,138
114,185,464
114,23,499
114,223,134
114,339,150
114,244,291
115,460,243
115,276,54
115,294,229
115,237,25
115,400,410
115,454,210
115,319,185
115,223,339
115,49,46
115,214,346
115,23,354
116,425,380
116,460,21
116,276,294
116,137,237
116,244,400
116,319,454
116,49,214
116,223,23
117,460,425
117,276,137
117,244,49
117,223,319
118,276,460
118,244,223
119,497,362
119,407,274
119,452,335
119,345,151
119,54,93
119,202,255
120,392,242
120,412,193
120,464,137
120,81,458
120,340,346
120,425,36
120,290,330
120,65,91
120,358,400
120,224,234
120,301,432
120,342,159
120,261,63
120,438,7
120,243,74
120,457,355
120,172,35
120,385,99
120,185,140
120,252,416
120,27,248
120,21,499
120,58,381
120,222,469
120,444,121
120,287,124
121,224,392
121,342,261
121,464,290
121,438,243
121,301,65
121,457,358
121,412,81
121,425,340
121,185,21
121,452,252
121,222,54
121,58,497
121,385,407
121,345,172
121,444,27
121,287,202
122,342,464
122,301,457
122,425,412
122,438,224
122,452,58
122,444,345
122,222,185
122,385,287
123,301,342
123,438,425
123,222,444
123,385,452
124,438,301
124,385,222
124,38,140
124,243,382
124,322,339
124,400,124
124,23,210
124,389,223
124,362,42
124,134,185
124,244,213
124,49,412
125,242,150
125,319,87
125,46,452
125,454,464
125,494,469
125,294,425
125,88,216
125,335,430
125,416,21
125,276,302
125,392,287
125,354,481
125,421,172
125,161,137
125,74,444
125,426,385
125,214,448
125,229,491
125,91,499
125,355,227
125,93,474
125,222,371
126,49,322
126,400,74
126,421,23
126,362,335
126,244,294
126,38,91
126,242,426
126,46,243
127,161,222
127,389,392
127,319,416
127,229,354
127,494,93
127,134,88
127,454,355
127,276,214
128,161,242
128,49,400
128,319,389
128,38,362
128,46,229
128,276,454
128,421,494
128,244,134
129,161,38
129,46,319
129,421,276
129,49,244
130,161,46
130,49,421
131,49,161
133,87,389
133,412,464
133,362,448
133,222,371
133,302,494
133,472,345
133,242,116
133,444,497
133,473,287
133,223,36
133,216,172
133,16,90
133,23,491
133,213,330
134,210,42
134,91,474
134,93,382
134,385,339
134,426,481
134,150,185
134,460,425
134,46,400
134,294,134
134,74,322
134,38,242
134,354,444
134,23,430
134,473,472
136,294,46
136,49,16
136,74,150
136,222,421
136,302,91
136,319,87
136,426,93
136,210,412
136,213,216
136,460,161
136,244,362
136,385,223
136,294,38
136,23,302
136,222,473
136,49,426
136,319,74
136,354,213
136,460,210
136,385,244
137,49,319
137,354,23
137,222,460
137,385,294
138,222,49
138,354,385
139,354,222
139,67,373
139,416,247
139,362,193
139,464,65
139,345,255
139,121,239
139,494,435
139,382,495
140,36,317
140,361,274
140,424,340
140,332,213
140,403,491
140,410,489
140,481,335
140,164,392
140,173,469
140,227,47
141,127,42
141,237,106
141,7,81
141,497,109
141,346,73
141,327,251
141,422,371
142,355,311
142,88,124
142,248,243
142,412,290
142,444,256
142,237,7
142,422,416
142,67,355
142,362,36
142,127,346
142,88,327
142,412,248
142,497,444
142,134,376
142,140,272
142,332,164
142,227,494
142,382,410
142,361,403
142,481,424
142,134,345
142,140,173
142,121,464
143,88,422
143,362,127
143,412,67
143,497,237
143,332,140
143,481,121
143,134,227
143,382,361
144,362,88
144,497,412
144,481,382
144,134,332
145,362,497
145,481,134
146,358,214
146,276,191
146,302,446
146,248,381
146,460,469
146,236,243
146,410,496
146,229,342
146,46,357
146,294,121
146,354,67
146,416,452
146,430,473
146,421,109
147,208,150
147,101,355
147,242,93
147,337,247
147,237,474
147,222,261
147,49,335
147,65,202
147,88,203
147,38,340
147,172,389
147,290,339
147,491,252
147,400,239
147,454,387
147,376,403
147,287,497
147,345,362
147,107,6
147,426,481
147,91,274
147,7,74
147,346,371
147,56,499
147,424,425
147,472,106
147,213,138
147,185,151
148,210,330
148,42,495
148,361,124
148,12,63
148,301,223
148,16,435
148,134,36
148,23,322
148,53,137
148,255,332
148,308,193
148,319,392
148,382,87
148,180,25
148,464,494
148,448,61
148,234,140
148,216,373
148,161,444
148,432,197
148,412,380
148,385,436
149,430,229
149,302,248
149,421,416
149,172,65
149,237,107
149,287,337
149,208,491
149,426,376
149,400,290
149,354,236
149,276,294
149,460,358
149,222,101
149,454,345
149,242,49
150,213,12
150,7,424
150,56,88
150,319,23
150,16,382
150,412,385
150,432,464
150,38,91
150,42,301
150,46,410
150,472,308
150,346,185
150,361,210
150,53,134
150,161,255
151,216,180
151,448,234
151,276,354
151,400,287
151,460,426
151,208,237
151,302,430
151,421,172
151,454,46
151,222,242
152,161,448
152,216,53
152,412,319
152,432,361
152,56,7
152,16,42
152,213,472
152,38,346
153,460,400
153,276,208
153,222,454
153,421,302
154,38,213
154,216,412
154,161,432
154,16,56
155,222,421
155,460,276
157,16,161
157,38,216
158,38,16
158,460,222
159,38,460
161,137,242
161,380,252
161,28,180
161,377,393
161,291,36
161,237,191
162,124,234
162,448,355
162,452,469
162,172,283
162,4,382
162,371,301
162,49,248
162,58,121
162,7,287
163,457,207
163,124,448
163,291,137
163,454,193
163,378,373
163,151,387
163,332,368
163,444,246
163,100,247
163,385,470
163,342,431
163,134,32
163,274,310
163,264,298
163,65,491
163,416,376
163,202,343
163,403,381
163,294,126
164,7,58
164,380,452
164,237,4
164,378,151
164,444,100
164,454,332
164,274,342
164,134,264
164,385,202
164,65,416
164,294,403
165,371,172
165,457,28
165,49,377
165,237,291
165,371,7
165,49,457
165,380,124
165,274,444
165,454,294
165,65,385
165,134,378
166,371,237
166,49,380
166,454,274
167,371,49
167,134,65
167,134,454
168,137,430
168,185,382
168,425,470
168,222,223
168,373,294
168,354,74
168,444,361
168,452,412
168,46,345
168,469,127
168,213,124
168,287,346
169,276,7
169,150,481
169,355,445
169,322,432
169,319,385
169,362,100
169,191,203
169,400,252
169,424,494
169,376,491
169,16,277
169,134,23
169,29,371
169,401,242
169,214,58
169,93,416
170,65,448
170,38,454
170,464,101
170,473,389
170,425,185
170,322,222
170,276,137
